"split","disaster_type","event_name","has_area","has_label","file_count"
"train","CRASAR-U-DROIDs","1002-Ft-Myers-Beach","True","False","1"
"train","CRASAR-U-DROIDs","alldata","True","False","1"
"train","CRASAR-U-DROIDs","1002-Palm-Acers","True","False","1"
"train","CRASAR-U-DROIDs","1001-McGregor-College-Pkwy-South","True","False","1"
"train","CRASAR-U-DROIDs","0827-A-01","True","False","1"
"train","CRASAR-U-DROIDs","090403-Lancaster-Canyon-Gate","True","False","1"
"train","CRASAR-U-DROIDs","1001-Iona-Point","True","False","1"
"train","CRASAR-U-DROIDs","1002-Kelly-Road","True","False","1"
"train","CRASAR-U-DROIDs","1002-Sanibel-Causeway-North","True","False","1"
"train","CRASAR-U-DROIDs","1001-Palmeto-Palms","True","False","1"
"train","CRASAR-U-DROIDs","1001-Summerlin-San-Carlos","True","False","1"
"train","CRASAR-U-DROIDs","090302-Pecan-Grove-Levee","True","False","1"
"train","CRASAR-U-DROIDs","0827-A-02","True","False","1"
"dev","CRASAR-U-DROIDs","1001-San-Carlos-Island","True","False","1"
"dev","CRASAR-U-DROIDs","2018-05-18-X5-visible","True","False","1"
"dev","CRASAR-U-DROIDs","1001-Kennedy-Green-Mobile-Homes","True","False","1"
"hidden_test","CRASAR-U-DROIDs","20210901-Cocodrie","True","False","1"
"hidden_test","CRASAR-U-DROIDs","1002-Boca-Grande","True","False","2"
"hidden_test","CRASAR-U-DROIDs","090401-DMS-Assessment-Westpark","True","False","1"
"train","Cyclone","Cyclone_Emnat_2022","True","False","1"
"train","Cyclone","Cyclone_Idaid_2019","True","False","1"
"train","Cyclone","Cyclone_Bay_of_Bengal_Mocha_2023","True","False","1"
"train","Cyclone","Cyclone_North_Island_(2023)","True","False","1"
"train","Cyclone","Cyclone_gisborne_2023","True","False","2"
"train","Cyclone","Cyclone_Chido_2024","True","False","1"
"dev","Cyclone","Cyclone_Hawke_2023","True","False","2"
"dev","Cyclone","Cyclone_Shaheen_2021","True","False","1"
"hidden_test","Cyclone","Cyclone_Tropical_Cyclone_Gita_2018","True","False","1"
"hidden_test","Cyclone","Cyclone_Fani_2019","True","False","1"
"train","dfc25_track2_trainval","ukraine-conflict","False","True","1"
"train","dfc25_track2_trainval","mexico-hurricane","True","True","2"
"train","dfc25_track2_trainval","ukraine","True","False","1"
"train","dfc25_track2_trainval","beirut-explosion","True","True","2"
"train","dfc25_track2_trainval","congo-volcano","True","True","2"
"train","dfc25_track2_trainval","bata-explosion","True","True","2"
"train","dfc25_track2_trainval","turkey-earthquake","True","True","2"
"train","dfc25_track2_trainval","marshall-wildfire","True","True","2"
"train","dfc25_track2_trainval","libya-flood","True","True","2"
"train","dfc25_track2_trainval","la_palma-volcano","True","False","1"
"train","dfc25_track2_trainval","myanmar-hurricane","True","True","2"
"train","dfc25_track2_trainval","noto-earthquake","True","True","2"
"dev","dfc25_track2_trainval","morocco-earthquake","True","True","2"
"dev","dfc25_track2_trainval","la","False","True","1"
"hidden_test","dfc25_track2_trainval","hawaii-wildfire","True","True","2"
"hidden_test","dfc25_track2_trainval","haiti-earthquake","True","True","2"
"train","Earthquake","Noto_Peninsula_2024","True","True","8"
"train","Earthquake","Afghanistan_Earthquake_2022","True","False","1"
"train","Earthquake","Kaikoura Earthquake (2016)","True","False","1"
"train","Earthquake","Yamagata_2019","True","False","1"
"train","Earthquake","Great_East_Japan_Earthquake_2011","True","False","1"
"train","Earthquake","Hualian_Taiwan_2023","True","False","1"
"train","Earthquake","Indonesia_Earthquake_Tsunami_2019","True","True","7"
"train","Earthquake","Kanazawa_2024","True","False","1"
"train","Earthquake","Yunnan_Earthquake_2021","True","True","2"
"train","Earthquake","Turkey_Syria_2023","True","True","14"
"train","Earthquake","Southern_Mexico_Earthquake_2017","True","False","1"
"train","Earthquake","Indonesia_Earthquake_2018","True","False","1"
"train","Earthquake","Ecuador_Earthquake_2022","True","False","1"
"train","Earthquake","Bungo_Suido_2024","True","False","1"
"train","Earthquake","Nepal_Earthquake_Nov._2023","True","False","1"
"train","Earthquake","Haiti_Earthquake_2021","True","True","5"
"train","Earthquake","Miyazaki_2024","True","False","1"
"train","Earthquake","Puerto_Rico_Earthquake_2020","True","True","6"
"train","Earthquake","Nepal_Earthquake_2015","True","False","1"
"train","Earthquake","Northern_Ibaraki_2016","True","False","1"
"train","Earthquake","Fukushima_2022","True","False","1"
"train","Earthquake","lds-christchurch-post-earthquake_2017","True","False","1"
"train","Earthquake","Morocco_Earthquake_2023","True","True","27"
"dev","Earthquake","Xinjing_Earthquake_2024","False","True","13"
"dev","Earthquake","Pakistan_Earthquake_2020","True","False","1"
"dev","Earthquake","Kumamoto_Earthquake_2016","True","False","1"
"dev","Earthquake","Turkey_2020","True","False","1"
"dev","Earthquake","yushu_area","True","False","1"
